Kolkata to Digha Bus,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,05h 00m,04:30,4.4,360,29 Seats available
Kolkata to Digha Bus,Express Line,Volvo 9600 A/C Seater (2+2),23:45,05h 00m,04:45,4.4,404,30 Seats available
Kolkata to Digha Bus,Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,07h 30m,05:30,4.3,278,37 Seats available
Kolkata to Digha Bus,Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,05h 13m,05:10,4.3,347,24 Seats available
Kolkata to Digha Bus,Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,05h 13m,05:10,4.3,278,32 Seats available
Kolkata to Digha Bus,Sagufta Travels (Bhorpet Travels),AC Seater (2+2),23:55,04h 40m,04:35,4.0,347,22 Seats available
Kolkata to Digha Bus,Parameswar Travels,A/C Seater Push Back (2+3),23:45,05h 15m,05:00,3.0,285,51 Seats available
Kolkata to Digha Bus,Parameswar Travels,A/C Seater Push Back (2+2),23:50,04h 55m,04:45,3.3,230,26 Seats available
Kolkata to Digha Bus,Sagufta Travels (Mayuri),A/C Seater (2+2),23:15,04h 45m,04:00,4.8,347,11 Seats available
Kolkata to Digha Bus,City Express (Shinjini),AC Seater (2+3),23:50,05h 05m,04:55,3.0,320,35 Seats available
Kolkata to Digha Bus,Sagufta Travels(Angel),A/C Seater (2+2),23:58,05h 12m,05:10,3.6,299,20 Seats available
Kolkata to Digha Bus,Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),22:10,07h 30m,05:40,4.2,347,34 Seats available
Kolkata to Digha Bus,Sagufta Travels (Atithi),A/C Seater Push Back (2+3),23:59,05h 01m,05:00,3.3,299,41 Seats available
Kolkata to Digha Bus,Parameswar Travels,A/C Seater Push Back (2+3),23:59,05h 01m,05:00,2.7,230,49 Seats available
Kolkata to Digha Bus,Mayuri Express,A/C Seater (2+3),18:20,04h 30m,22:50,3.7,300,59 Seats available
Digha to Kolkata Bus,City Express (Shinjini),AC Seater (2+3),22:45,05h 25m,04:10,3.8,370,11 Seats available
Digha to Kolkata Bus,Satya Paribahan,A/C Seater (2+3),23:00,04h 45m,03:45,2.9,389,26 Seats available
Digha to Kolkata Bus,Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,04h 10m,03:45,3.1,470,22 Seats available
Digha to Kolkata Bus,Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,05h 25m,04:10,2.7,370,15 Seats available
Digha to Kolkata Bus,Satya Paribahan,A/C Seater (2+3),23:30,04h 10m,03:40,1.9,352,26 Seats available
Digha to Kolkata Bus,Parameswar Travels,A/C Seater Push Back (2+3),18:10,05h 05m,23:15,2.7,285,30 Seats available
Digha to Kolkata Bus,Aradhana Travels,A/C Seater / Sleeper (2+2),18:35,04h 25m,23:00,1.4,475,14 Seats available
Digha to Kolkata Bus,Snemita Parisheba(Santosh),A/C Seater Push Back (2+3),23:30,05h 00m,04:30,3.1,370,22 Seats available
Digha to Kolkata Bus,Arunita Paribahan,A/C Seater (2+3),23:35,04h 10m,03:45,2.3,420,21 Seats available
Digha to Kolkata Bus,Aradhana Bus Service,A/C Seater / Sleeper (2+2),23:00,05h 00m,04:00,1.4,523,16 Seats available
Digha to Kolkata Bus,Snemita Paribahan,A/C Seater (2+3),23:30,04h 30m,04:00,2.1,420,45 Seats available
Digha to Kolkata Bus,Ankita Paribahan,A/C Seater Push Back (2+3),23:30,05h 40m,05:10,2.5,389,51 Seats available
Digha to Kolkata Bus,Aradhana Travels,A/C Seater / Sleeper (2+1),19:30,04h 29m,23:59,1.6,475,10 Seats available
Digha to Kolkata Bus,Snemita Parisheba,AC Seater (2+3),23:40,05h 00m,04:40,1.0,370,40 Seats available
Mandarmani to Kolkata Bus,Parameswar Travels,A/C Seater Push Back (2+3),18:30,04h 45m,23:15,1.8,285,30 Seats available
Mandarmani to Kolkata Bus,City Express (Shinjini),AC Seater (2+3),23:15,04h 55m,04:10,2.9,370,12 Seats available
Mandarmani to Kolkata Bus,Snemita Paribahan (Shinjini),AC Seater (2+3),23:59,03h 46m,03:45,2.7,470,22 Seats available
Mandarmani to Kolkata Bus,Snemita Paribahan(Shinjini),A/C Seater (2+3),23:15,04h 55m,04:10,2.7,370,15 Seats available
Mandarmani to Kolkata Bus,Ankita Paribahan - Parameswar,A/C Seater (2+3),18:40,04h 00m,22:40,1.7,393,36 Seats available
Mandarmani to Kolkata Bus,Satya Paribahan,A/C Seater (2+3),23:40,04h 05m,03:45,1.9,389,26 Seats available
Mandarmani to Kolkata Bus,Aradhana Travels,A/C Seater / Sleeper (2+1),20:00,03h 59m,23:59,3.4,475,12 Seats available
Mandarmani to Kolkata Bus,Snemita Parisheba,AC Seater (2+3),23:59,04h 41m,04:40,2.9,370,40 Seats available
Mandarmani to Kolkata Bus,Snemita Parisheba(Santosh),A/C Seater Push Back (2+3),23:59,04h 31m,04:30,2.9,370,24 Seats available
Mandarmani to Kolkata Bus,Ankita Paribahan,A/C Seater Push Back (2+3),23:59,05h 11m,05:10,2.4,389,51 Seats available
Mandarmani to Kolkata Bus,Aradhana Bus Service,A/C Seater / Sleeper (2+2),23:20,04h 40m,04:00,2.4,523,18 Seats available
Mandarmani to Kolkata Bus,Ankita Paribahan,Non AC Seater (2+3),19:00,04h 00m,23:00,2.4,370,33 Seats available
Mandarmani to Kolkata Bus,Satya Paribahan,A/C Seater (2+3),19:00,04h 00m,23:00,1.9,352,46 Seats available
Kolkata to Mandarmani Bus,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04h 15m,03:45,4.5,360,31 Seats available
Kolkata to Mandarmani Bus,Express Line,Volvo 9600 A/C Seater (2+2),23:45,04h 20m,04:05,4.7,404,30 Seats available
Kolkata to Mandarmani Bus,Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,07h 10m,05:10,3.3,278,37 Seats available
Kolkata to Mandarmani Bus,Sagufta Travels (Atithi),A/C Seater Push Back (2+3),23:59,04h 31m,04:30,3.8,299,41 Seats available
Kolkata to Mandarmani Bus,Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,04h 23m,04:20,3.7,278,35 Seats available
Kolkata to Mandarmani Bus,Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,04h 30m,04:27,3.9,347,24 Seats available
Kolkata to Mandarmani Bus,Samanta Travels,A/C Seater (2+3),18:10,04h 50m,23:00,3.4,285,16 Seats available
Kolkata to Mandarmani Bus,Parameswar Travels,A/C Seater Push Back (2+3),23:59,04h 31m,04:30,2.3,230,49 Seats available
Kolkata to Mandarmani Bus,Snemita Paribahan(Shinjini),A/C Seater (2+3),23:50,04h 10m,04:00,2.9,320,20 Seats available
Kolkata to Mandarmani Bus,Parameswar Travels,A/C Seater Push Back (2+2),23:50,04h 40m,04:30,2.7,230,26 Seats available
Kolkata to Mandarmani Bus,Sagufta Travels (Samanta),A/C Seater (2+3),18:00,04h 00m,22:00,2.9,299,20 Seats available
Kolkata to Mandarmani Bus,Sagufta Travels (Sagar Kanya),A/C Seater Push Back (2+3),23:30,04h 30m,04:00,2.9,299,20 Seats available
Kolkata to Mandarmani Bus,Snemita Pariseba(Santosh),AC Seater (2+3),18:30,03h 30m,22:00,2.8,370,20 Seats available
Kolkata to Mandarmani Bus,Parameswar Travels,A/C Seater Push Back (2+3),23:55,04h 35m,04:30,2.4,285,56 Seats available
Kolkata to Mandarmani Bus,Santosh Bus Service,A/C Seater Push Back (2+3),23:50,04h 55m,04:45,2.2,324,23 Seats available
Patna to Bettiah Bus,V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,06h 00m,03:40,2.9,350,61 Seats available
Patna to Bettiah Bus,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,05h 20m,04:00,2.7,405,23 Seats available
Gopalganj (Bihar) to Delhi Bus,Travel Point World LLP,A/C Seater / Sleeper (2+2),20:20,14h 30m,10:50,1.9,1849,37 Seats available
Gopalganj (Bihar) to Delhi Bus,New Travel India,A/C Seater / Sleeper (2+1),18:15,13h 45m,08:00,1.2,2249,14 Seats available
Gopalganj (Bihar) to Delhi Bus,New Travel India,A/C Seater / Sleeper (2+1),18:15,13h 55m,08:10,1.2,2249,30 Seats available
Patna to Motihari Bus,Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),21:20,03h 40m,01:00,2.6,230,32 Seats available
Bettiah to Patna Bus,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:00,07h 00m,05:00,1.9,450,10 Seats available
Kolkata to Siliguri Bus,Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),18:30,13h 15m,07:45,4.5,1200,37 Seats available
Kolkata to Siliguri Bus,Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),18:15,12h 15m,06:30,4.5,1200,13 Seats available
Kolkata to Siliguri Bus,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,12h 05m,06:50,4.4,1500,14 Seats available
Kolkata to Siliguri Bus,Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,13h 10m,07:40,4.3,1499,20 Seats available
Kolkata to Siliguri Bus,Lokenath Bus Service,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),20:00,12h 00m,08:00,4.5,1200,27 Seats available
Kolkata to Siliguri Bus,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),19:30,13h 15m,08:45,4.4,1200,30 Seats available
Kolkata to Siliguri Bus,Express Line,Volvo 9600 A/C Seater/Sleeper (2+1),19:30,12h 55m,08:25,4.4,1199,35 Seats available
Kolkata to Siliguri Bus,Rubi Paribahan  ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:00,12h 30m,07:30,4.1,1499,17 Seats available
Kolkata to Siliguri Bus,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,12h 40m,07:25,4.7,1500,4 Seats available
Kolkata to Siliguri Bus,Greenline,Volvo Multi-Axle A/C Sleeper (2+1),18:45,12h 15m,07:00,4.6,1500,7 Seats available
Kolkata to Siliguri Bus,Greenline,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,13h 15m,07:45,4.5,1500,7 Seats available
Kolkata to Siliguri Bus,Annesha Travels,NON A/C Seater / Sleeper (2+2),18:20,12h 40m,07:00,1.6,500,28 Seats available
